full_text,image_url,translated_text,sentiment,ocr_text,combined_text,pred_network,pred_body,pred_display,pred_platform,pred_performance,pred_memory,pred_camera,pred_sound,pred_communications,pred_features,pred_battery,pred_accessories
5G di iPhone 16 sering beralih ke LTE tanpa alasan.,,5G on the iPhone 16 often switches to LTE for no reason.,1,,5G di iPhone 16 sering beralih ke LTE tanpa alasan. ,0,0,0,0,0,0,0,0,0,0,0,0
"Saat telepon, suara suka delay beberapa detik!",,"When the phone, the voice likes to delay a few seconds!",2,,"Saat telepon, suara suka delay beberapa detik! ",1,0,0,0,0,0,0,0,0,0,0,0
Main game multiplayer sering lag karena jaringan naik turun!,,Playing multiplayer games often lag because the network goes up and down!,1,,Main game multiplayer sering lag karena jaringan naik turun! ,0,0,0,0,0,0,0,0,0,0,0,0
Hotspot sering disconnect kalau HP masuk mode sleep!,,Hotspot often disconnect if the cellphone enters sleep mode!,0,,Hotspot sering disconnect kalau HP masuk mode sleep! ,1,0,0,0,0,0,0,0,0,0,0,0
"Lagi streaming, tiba-tiba jaringan drop, padahal sinyal full!",,"Again streaming, suddenly the network drops, even though the signal is full!",0,,"Lagi streaming, tiba-tiba jaringan drop, padahal sinyal full! ",1,0,0,0,0,0,0,0,0,0,0,0
Koneksi jaringan tetap optimal di tempat ramai!,,The network connection remains optimal in a crowded place!,2,,Koneksi jaringan tetap optimal di tempat ramai! ,0,0,0,0,0,0,0,0,0,0,0,0
Streaming Netflix 4K di jaringan 5G Lancar jaya,,Streaming Netflix 4K on the 5G network smoothly Jaya,0,,Streaming Netflix 4K di jaringan 5G Lancar jaya ,2,0,0,0,0,0,0,0,0,0,0,0
Susah dapat sinyal di tempat umum seperti mall.,,Difficult to get signals in public places such as malls.,1,,Susah dapat sinyal di tempat umum seperti mall. ,1,0,0,0,0,0,0,0,0,0,0,0
Kadang jaringan ngedrop tanpa alasan jelas!,,Sometimes the network drops for no apparent reason!,1,,Kadang jaringan ngedrop tanpa alasan jelas! ,0,0,0,0,0,0,0,0,0,0,0,0
Signal strength nggak sebaik HP lain.,,Signal strength is not as good as other cellphones.,2,,Signal strength nggak sebaik HP lain. ,1,0,0,0,0,0,0,0,0,0,0,0
Kadang sinyal penuh tapi internet jalan lambat banget!,,Sometimes the signal is full but the internet is really slow!,0,,Kadang sinyal penuh tapi internet jalan lambat banget! ,1,0,0,0,0,0,0,0,0,0,0,0
Model iPhone 16 Pro Dilaporkan Memberikan Kecepatan 5G Jauh Lebih Cepat #applenews https://t.co/1gzUiTfgnW https://t.co/apMJGDsQ9I,https://pbs.twimg.com/media/GXiBVa0WoAAgPQV.jpg,The iPhone 16 Pro model reportedly gave a speed of 5G much faster #applenews https://t.co/1gzuitfgnw https://t.co/apmjgdsq9i,0,,Model iPhone 16 Pro Dilaporkan Memberikan Kecepatan 5G Jauh Lebih Cepat #applenews https://t.co/1gzUiTfgnW https://t.co/apMJGDsQ9I ,2,0,0,0,0,0,0,0,0,0,0,0
Sering disconnect kerjaan jadi terganggu,,Often disconnect work is disturbed,1,,Sering disconnect kerjaan jadi terganggu ,0,0,0,0,0,0,0,0,0,0,0,0
Sering disconnect dari jaringan seluler tanpa alasan!,,Often disconnect from cellular tissue for no reason!,1,,Sering disconnect dari jaringan seluler tanpa alasan! ,1,0,0,0,0,0,0,0,0,0,0,0
WiFi sering putus meskipun sinyal full.,,Wifi often breaks despite full signals.,0,,WiFi sering putus meskipun sinyal full. ,1,0,0,0,0,0,0,0,0,0,0,0
Browsing internet super cepat buka banyak tab tetap lancar,,Super fast internet browsing open a lot of tabs stay smooth,2,,Browsing internet super cepat buka banyak tab tetap lancar ,2,0,0,0,0,0,0,0,0,0,0,0
Sinyal tetap stabil saat di kereta yang ngebut,,The signal remains stable when on the speeding train,2,,Sinyal tetap stabil saat di kereta yang ngebut ,2,0,0,0,0,0,0,0,0,0,0,0
FaceTime suka disconnect sendiri pas sinyal lemah.,,FaceTime likes disconnect itself when the signal is weak.,0,,FaceTime suka disconnect sendiri pas sinyal lemah. ,1,0,0,0,0,0,0,0,0,0,0,0
Jaringan 5G malah bikin internetan lebih lambat.,,5G networks even make the internet slower.,0,,Jaringan 5G malah bikin internetan lebih lambat. ,0,0,0,0,0,0,0,0,0,0,0,0
"Download aplikasi sering gagal, harus restart jaringan dulu.",,"Download the application often fails, must restart the network first.",1,,"Download aplikasi sering gagal, harus restart jaringan dulu. ",1,0,0,0,0,0,0,0,0,0,0,0
Sering mengalami lag pas main game online.,,Often experience lag when playing online games.,1,,Sering mengalami lag pas main game online. ,1,0,0,0,1,0,0,0,0,0,0,0
WiFi nggak bisa nyambung kalau jauh sedikit dari router!,,Wifi can't connect if it's a little from a router!,0,,WiFi nggak bisa nyambung kalau jauh sedikit dari router! ,0,0,0,0,0,0,0,0,0,0,0,0
Kadang sinyal full tapi kecepatan internet lemot parah,,Sometimes the signal is full but the speed of the internet is slow,0,,Kadang sinyal full tapi kecepatan internet lemot parah ,1,0,0,0,0,0,0,0,0,0,0,0
Dual SIM bikin manajemen kartu jadi lebih praktis.,,Dual SIM makes card management more practical.,0,,Dual SIM bikin manajemen kartu jadi lebih praktis. ,2,0,0,0,0,0,0,0,0,0,0,0
Koneksi antar perangkat lebih cepat dan responsif.,,Connection between devices is faster and responsive.,2,,Koneksi antar perangkat lebih cepat dan responsif. ,2,0,0,0,0,0,0,0,0,0,0,0
Bisa download update iOS dalam hitungan menit!,,Can download iOS updates in minutes!,0,,Bisa download update iOS dalam hitungan menit! ,2,0,0,0,0,0,0,0,0,0,0,0
Gonta-ganti jaringan dari WiFi ke seluler sering ada delay.,,The network from wifi to cellular is often delay.,1,,Gonta-ganti jaringan dari WiFi ke seluler sering ada delay. ,0,0,0,0,0,0,0,0,0,0,0,0
Baru sadar jaringan lebih stabil saat upload file besar,,Just realized the network was more stable when uploading a large file,2,,Baru sadar jaringan lebih stabil saat upload file besar ,0,0,0,0,0,0,0,0,0,0,0,0
Sinyal tetap kuat meskipun di daerah terpencil,,The signal remains strong even in remote areas,2,,Sinyal tetap kuat meskipun di daerah terpencil ,2,0,0,0,0,0,0,0,0,0,0,0
Kadang harus matikan WiFi dulu biar internet jalan.,,Sometimes you have to turn off wifi first so that the internet goes.,0,,Kadang harus matikan WiFi dulu biar internet jalan. ,1,0,0,0,0,0,0,0,0,0,0,0
Sekarang nggak perlu takut lost connection pas lagi call penting,,Now no need to be afraid of lost connection when you call it more importantly,1,,Sekarang nggak perlu takut lost connection pas lagi call penting ,2,0,0,0,0,0,0,0,0,0,0,0
Saat naik gunung cuma iPhone 16 yang masih dapet sinyal,,When going up the mountain only the iPhone 16 still got a signal,0,,Saat naik gunung cuma iPhone 16 yang masih dapet sinyal ,2,0,0,0,0,0,0,0,0,0,0,0
WiFi di iPhone 16 lebih pintar dalam memilih sinyal terbaik,,WiFi on the iPhone 16 is smarter in choosing the best signal,2,,WiFi di iPhone 16 lebih pintar dalam memilih sinyal terbaik ,2,0,0,0,0,0,0,0,0,0,0,0
Tethering ke beberapa perangkat tetap lancar dan cepat.,,Tethering to some devices remains smooth and fast.,0,,Tethering ke beberapa perangkat tetap lancar dan cepat. ,2,0,0,0,0,0,0,0,0,0,0,0
Stabil banget buat online meeting nggak ada putusputus lagi,,"Very stable for online meetings, no more",2,,Stabil banget buat online meeting nggak ada putusputus lagi ,2,0,0,0,0,0,0,0,0,0,0,0
Kenapa FaceTime sering putus sendiri?,,Why does Facetime often break alone?,1,,Kenapa FaceTime sering putus sendiri? ,1,0,0,0,0,0,0,0,0,0,0,0
