full_text,image_url,network,body,display,platform,performance,memory,camera,sound,communications,features,battery,accessories,case_folding,cleaning,normalized,tokenize,Filtering/stopword_removal,stemming_data,ocr_text,combined_text,pred_network,pred_body,pred_display,pred_platform,pred_performance,pred_memory,pred_camera,pred_sound,pred_communications,pred_features,pred_battery,pred_accessories
5G di iPhone 16 sering beralih ke LTE tanpa alasan.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5g di iphone 16 sering beralih ke lte tanpa alasan.,g di iphone  sering beralih ke lte tanpa alasan,g di iphone sering alih ke lte tanpa alas,"['g', 'di', 'iphone', 'sering', 'alih', 'ke', 'lte', 'tanpa', 'alas']","['g', 'alih', 'lte', 'alas']",g alih lte alas,,5G di iPhone 16 sering beralih ke LTE tanpa alasan. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Saat telepon, suara suka delay beberapa detik!",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"saat telepon, suara suka delay beberapa detik!",saat telepon suara suka delay beberapa detik,saat telepon suara suka delay beberapa detik,"['saat', 'telepon', 'suara', 'suka', 'delay', 'beberapa', 'detik']","['telepon', 'suara', 'suka', 'delay', 'detik']",telepon suara suka delay detik,,"Saat telepon, suara suka delay beberapa detik! ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main game multiplayer sering lag karena jaringan naik turun!,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,main game multiplayer sering lag karena jaringan naik turun!,main game multiplayer sering lag karena jaringan naik turun,main game multiplayer sering lag karena jaring naik turun,"['main', 'game', 'multiplayer', 'sering', 'lag', 'karena', 'jaring', 'naik', 'turun']","['main', 'game', 'multiplayer', 'lag', 'jaring', 'turun']",main game multiplayer lag jaring turun,,Main game multiplayer sering lag karena jaringan naik turun! ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotspot sering disconnect kalau HP masuk mode sleep!,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hotspot sering disconnect kalau hp masuk mode sleep!,hotspot sering disconnect kalau hp masuk mode sleep,hotspot sering disconnect kalau hp masuk mode sleep,"['hotspot', 'sering', 'disconnect', 'kalau', 'hp', 'masuk', 'mode', 'sleep']","['hotspot', 'disconnect', 'hp', 'masuk', 'mode', 'sleep']",hotspot disconnect hp masuk mode sleep,,Hotspot sering disconnect kalau HP masuk mode sleep! ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lagi streaming, tiba-tiba jaringan drop, padahal sinyal full!",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"lagi streaming, tiba-tiba jaringan drop, padahal sinyal full!",lagi streaming tibatiba jaringan drop padahal sinyal full,lagi streaming tibatiba jaring drop padahal sinyal full,"['lagi', 'streaming', 'tibatiba', 'jaring', 'drop', 'padahal', 'sinyal', 'full']","['streaming', 'tibatiba', 'jaring', 'drop', 'sinyal', 'full']",streaming tibatiba jaring drop sinyal full,,"Lagi streaming, tiba-tiba jaringan drop, padahal sinyal full! ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koneksi jaringan tetap optimal di tempat ramai!,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,koneksi jaringan tetap optimal di tempat ramai!,koneksi jaringan tetap optimal di tempat ramai,koneksi jaring tetap optimal di tempat ramai,"['koneksi', 'jaring', 'tetap', 'optimal', 'di', 'tempat', 'ramai']","['koneksi', 'jaring', 'optimal', 'ramai']",koneksi jaring optimal ramai,,Koneksi jaringan tetap optimal di tempat ramai! ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streaming Netflix 4K di jaringan 5G Lancar jaya,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,streaming netflix 4k di jaringan 5g lancar jaya,streaming netflix k di jaringan g lancar jaya,streaming netflix k di jaring g lancar jaya,"['streaming', 'netflix', 'k', 'di', 'jaring', 'g', 'lancar', 'jaya']","['streaming', 'netflix', 'k', 'jaring', 'g', 'lancar', 'jaya']",streaming netflix k jaring g lancar jaya,,Streaming Netflix 4K di jaringan 5G Lancar jaya ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susah dapat sinyal di tempat umum seperti mall.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,susah dapat sinyal di tempat umum seperti mall.,susah dapat sinyal di tempat umum seperti mall,susah dapat sinyal di tempat umum seperti mall,"['susah', 'dapat', 'sinyal', 'di', 'tempat', 'umum', 'seperti', 'mall']","['susah', 'sinyal', 'mall']",susah sinyal mall,,Susah dapat sinyal di tempat umum seperti mall. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadang jaringan ngedrop tanpa alasan jelas!,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kadang jaringan ngedrop tanpa alasan jelas!,kadang jaringan ngedrop tanpa alasan jelas,kadang jaring ngedrop tanpa alas jelas,"['kadang', 'jaring', 'ngedrop', 'tanpa', 'alas', 'jelas']","['kadang', 'jaring', 'ngedrop', 'alas']",kadang jaring ngedrop alas,,Kadang jaringan ngedrop tanpa alasan jelas! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Signal strength nggak sebaik HP lain.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,signal strength nggak sebaik hp lain.,signal strength nggak sebaik hp lain,signal strength nggak baik hp lain,"['signal', 'strength', 'nggak', 'baik', 'hp', 'lain']","['signal', 'strength', 'nggak', 'hp']",signal strength nggak hp,,Signal strength nggak sebaik HP lain. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadang sinyal penuh tapi internet jalan lambat banget!,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kadang sinyal penuh tapi internet jalan lambat banget!,kadang sinyal penuh tapi internet jalan lambat banget,kadang sinyal penuh tapi internet jalan lambat banget,"['kadang', 'sinyal', 'penuh', 'tapi', 'internet', 'jalan', 'lambat', 'banget']","['kadang', 'sinyal', 'penuh', 'internet', 'jalan', 'lambat', 'banget']",kadang sinyal penuh internet jalan lambat banget,,Kadang sinyal penuh tapi internet jalan lambat banget! ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model iPhone 16 Pro Dilaporkan Memberikan Kecepatan 5G Jauh Lebih Cepat #applenews https://t.co/1gzUiTfgnW https://t.co/apMJGDsQ9I,https://pbs.twimg.com/media/GXiBVa0WoAAgPQV.jpg,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,model iphone 16 pro dilaporkan memberikan kecepatan 5g jauh lebih cepat #applenews https://t.co/1gzuitfgnw https://t.co/apmjgdsq9i,model iphone  pro dilaporkan memberikan kecepatan g jauh lebih cepat applenews httpstcogzuitfgnw httpstcoapmjgdsqi,model iphone pro lapor beri cepat g jauh lebih cepat applenews httpstcogzuitfgnw httpstcoapmjgdsqi,"['model', 'iphone', 'pro', 'lapor', 'beri', 'cepat', 'g', 'jauh', 'lebih', 'cepat', 'applenews', 'httpstcogzuitfgnw', 'httpstcoapmjgdsqi']","['model', 'pro', 'lapor', 'cepat', 'g', 'cepat', 'applenews', 'httpstcogzuitfgnw', 'httpstcoapmjgdsqi']",model pro lapor cepat g cepat applenews httpstcogzuitfgnw httpstcoapmjgdsqi,,Model iPhone 16 Pro Dilaporkan Memberikan Kecepatan 5G Jauh Lebih Cepat #applenews https://t.co/1gzUiTfgnW https://t.co/apMJGDsQ9I ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sering disconnect kerjaan jadi terganggu,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sering disconnect kerjaan jadi terganggu,sering disconnect kerjaan jadi terganggu,sering disconnect kerja jadi ganggu,"['sering', 'disconnect', 'kerja', 'jadi', 'ganggu']","['disconnect', 'kerja', 'ganggu']",disconnect kerja ganggu,,Sering disconnect kerjaan jadi terganggu ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sering disconnect dari jaringan seluler tanpa alasan!,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sering disconnect dari jaringan seluler tanpa alasan!,sering disconnect dari jaringan seluler tanpa alasan,sering disconnect dari jaring seluler tanpa alas,"['sering', 'disconnect', 'dari', 'jaring', 'seluler', 'tanpa', 'alas']","['disconnect', 'jaring', 'seluler', 'alas']",disconnect jaring seluler alas,,Sering disconnect dari jaringan seluler tanpa alasan! ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WiFi sering putus meskipun sinyal full.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wifi sering putus meskipun sinyal full.,wifi sering putus meskipun sinyal full,wifi sering putus meski sinyal full,"['wifi', 'sering', 'putus', 'meski', 'sinyal', 'full']","['wifi', 'putus', 'sinyal', 'full']",wifi putus sinyal full,,WiFi sering putus meskipun sinyal full. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Browsing internet super cepat buka banyak tab tetap lancar,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,browsing internet super cepat buka banyak tab tetap lancar,browsing internet super cepat buka banyak tab tetap lancar,browsing internet super cepat buka banyak tab tetap lancar,"['browsing', 'internet', 'super', 'cepat', 'buka', 'banyak', 'tab', 'tetap', 'lancar']","['browsing', 'internet', 'super', 'cepat', 'buka', 'tab', 'lancar']",browsing internet super cepat buka tab lancar,,Browsing internet super cepat buka banyak tab tetap lancar ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinyal tetap stabil saat di kereta yang ngebut,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sinyal tetap stabil saat di kereta yang ngebut,sinyal tetap stabil saat di kereta yang ngebut,sinyal tetap stabil saat di kereta yang ngebut,"['sinyal', 'tetap', 'stabil', 'saat', 'di', 'kereta', 'yang', 'ngebut']","['sinyal', 'stabil', 'kereta', 'ngebut']",sinyal stabil kereta ngebut,,Sinyal tetap stabil saat di kereta yang ngebut ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FaceTime suka disconnect sendiri pas sinyal lemah.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,facetime suka disconnect sendiri pas sinyal lemah.,facetime suka disconnect sendiri pas sinyal lemah,facetime suka disconnect sendiri pas sinyal lemah,"['facetime', 'suka', 'disconnect', 'sendiri', 'pas', 'sinyal', 'lemah']","['facetime', 'suka', 'disconnect', 'pas', 'sinyal', 'lemah']",facetime suka disconnect pas sinyal lemah,,FaceTime suka disconnect sendiri pas sinyal lemah. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaringan 5G malah bikin internetan lebih lambat.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jaringan 5g malah bikin internetan lebih lambat.,jaringan g malah bikin internetan lebih lambat,jaring g malah bikin internetan lebih lambat,"['jaring', 'g', 'malah', 'bikin', 'internetan', 'lebih', 'lambat']","['jaring', 'g', 'bikin', 'internetan', 'lambat']",jaring g bikin internetan lambat,,Jaringan 5G malah bikin internetan lebih lambat. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Download aplikasi sering gagal, harus restart jaringan dulu.",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"download aplikasi sering gagal, harus restart jaringan dulu.",download aplikasi sering gagal harus restart jaringan dulu,download aplikasi sering gagal harus restart jaring dulu,"['download', 'aplikasi', 'sering', 'gagal', 'harus', 'restart', 'jaring', 'dulu']","['download', 'aplikasi', 'gagal', 'restart', 'jaring']",download aplikasi gagal restart jaring,,"Download aplikasi sering gagal, harus restart jaringan dulu. ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sering mengalami lag pas main game online.,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sering mengalami lag pas main game online.,sering mengalami lag pas main game online,sering alami lag pas main game online,"['sering', 'alami', 'lag', 'pas', 'main', 'game', 'online']","['alami', 'lag', 'pas', 'main', 'game', 'online']",alami lag pas main game online,,Sering mengalami lag pas main game online. ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WiFi nggak bisa nyambung kalau jauh sedikit dari router!,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wifi nggak bisa nyambung kalau jauh sedikit dari router!,wifi nggak bisa nyambung kalau jauh sedikit dari router,wifi nggak bisa nyambung kalau jauh sedikit dari router,"['wifi', 'nggak', 'bisa', 'nyambung', 'kalau', 'jauh', 'sedikit', 'dari', 'router']","['wifi', 'nggak', 'nyambung', 'router']",wifi nggak nyambung router,,WiFi nggak bisa nyambung kalau jauh sedikit dari router! ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
