full_text,image_url,network,body,display,platform,performance,memory,camera,sound,communications,features,battery,accessories,case_folding,cleaning,normalized,tokenize,Filtering/stopword_removal,stemming_data,ocr_text,combined_text,pred_network,pred_body,pred_display,pred_platform,pred_performance,pred_memory,pred_camera,pred_sound,pred_communications,pred_features,pred_battery,pred_accessories
"Desain bodi iPhone 16 ini future-proof, bakal tetep keliatan keren sampe beberapa tahun ke depan.",0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"desain bodi iphone 16 ini future-proof, bakal tetep keliatan keren sampe beberapa tahun ke depan.",desain bodi iphone  ini futureproof bakal tetep keliatan keren sampe beberapa tahun ke depan,desain bodi iphone ini futureproof bakal tetap kelihatan keren sampai beberapa tahun ke depan,"['desain', 'bodi', 'iphone', 'ini', 'futureproof', 'bakal', 'tetap', 'kelihatan', 'keren', 'sampai', 'beberapa', 'tahun', 'ke', 'depan']","['desain', 'bodi', 'futureproof', 'keren']",desain bodi futureproof keren,,"Desain bodi iPhone 16 ini future-proof, bakal tetep keliatan keren sampe beberapa tahun ke depan. ",0,2,0,0,0,0,0,0,0,0,0,0
"Dark mode IOS 18 iPhone 16 ini keren maksimal, elegan, hitam pekat, kontras tinggi, hemat baterai, nyaman di mata malam hari!",0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"dark mode ios 18 iphone 16 ini keren maksimal, elegan, hitam pekat, kontras tinggi, hemat baterai, nyaman di mata malam hari!",dark mode ios  iphone  ini keren maksimal elegan hitam pekat kontras tinggi hemat baterai nyaman di mata malam hari,dark mode ios iphone ini keren maksimal elegan hitam pekat kontras tinggi hemat baterai nyaman di mata malam hari,"['dark', 'mode', 'ios', 'iphone', 'ini', 'keren', 'maksimal', 'elegan', 'hitam', 'pekat', 'kontras', 'tinggi', 'hemat', 'baterai', 'nyaman', 'di', 'mata', 'malam', 'hari']","['dark', 'mode', 'ios', 'keren', 'maksimal', 'elegan', 'hitam', 'pekat', 'kontras', 'hemat', 'baterai', 'nyaman', 'mata', 'malam']",dark mode ios keren maksimal elegan hitam pekat kontras hemat baterai nyaman mata malam,,"Dark mode IOS 18 iPhone 16 ini keren maksimal, elegan, hitam pekat, kontras tinggi, hemat baterai, nyaman di mata malam hari! ",0,0,0,2,0,0,0,0,0,0,0,0
"Lens correction algorithm audio output iPhone 16 lambat diganti, lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback, tidak instan.",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"lens correction algorithm audio output iphone 16 lambat diganti, lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback, tidak instan.",lens correction algorithm audio output iphone  lambat diganti lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback tidak instan,lens correction algorithm audio output iphone lambat diganti lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback tidak instan,"['lens', 'correction', 'algorithm', 'audio', 'output', 'iphone', 'lambat', 'diganti', 'lens', 'correction', 'algorithm', 'audio', 'sulit', 'diganti', 'tipenya', 'dan', 'kurang', 'efektif', 'untuk', 'menyesuaikan', 'cara', 'koreksi', 'distorsi', 'lensa', 'pada', 'output', 'foto', 'dan', 'video', 'dengan', 'audio', 'lens', 'correction', 'algorithm', 'feedback', 'tidak', 'instan']","['lens', 'correction', 'algorithm', 'audio', 'output', 'lambat', 'diganti', 'lens', 'correction', 'algorithm', 'audio', 'sulit', 'diganti', 'tipenya', 'efektif', 'menyesuaikan', 'koreksi', 'distorsi', 'lensa', 'output', 'foto', 'video', 'audio', 'lens', 'correction', 'algorithm', 'feedback', 'instan']",lens correction algorithm audio output lambat ganti lens correction algorithm audio sulit ganti tipe efektif sesuai koreksi distorsi lensa output foto video audio lens correction algorithm feedback instan,,"Lens correction algorithm audio output iPhone 16 lambat diganti, lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback, tidak instan. ",0,0,0,0,0,0,0,1,0,0,0,0
"Bodi iPhone 16 ini simply breathtaking, desainnya beneran bikin napas tertahan karena saking indahnya.",0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"bodi iphone 16 ini simply breathtaking, desainnya beneran bikin napas tertahan karena saking indahnya.",bodi iphone  ini simply breathtaking desainnya beneran bikin napas tertahan karena saking indahnya,bodi iphone ini simply breathtaking desainnya benaran bikin napas tertahan karena saking indahnya,"['bodi', 'iphone', 'ini', 'simply', 'breathtaking', 'desainnya', 'benaran', 'bikin', 'napas', 'tertahan', 'karena', 'saking', 'indahnya']","['bodi', 'simply', 'breathtaking', 'desainnya', 'benaran', 'bikin', 'napas', 'tertahan', 'saking', 'indahnya']",bodi simply breathtaking desain benar bikin napas tahan saking indah,,"Bodi iPhone 16 ini simply breathtaking, desainnya beneran bikin napas tertahan karena saking indahnya. ",0,2,0,0,0,0,0,0,0,0,0,0
"Display iPhone 16 ini terrific, tampilan layarnya bikin bangga jadi pemiliknya, kualitas visualnya memuaskan.",0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"display iphone 16 ini terrific, tampilan layarnya bikin bangga jadi pemiliknya, kualitas visualnya memuaskan.",display iphone  ini terrific tampilan layarnya bikin bangga jadi pemiliknya kualitas visualnya memuaskan,display iphone ini terrific tampilan layarnya bikin bangga jadi pemiliknya kualitas visualnya puas,"['display', 'iphone', 'ini', 'terrific', 'tampilan', 'layarnya', 'bikin', 'bangga', 'jadi', 'pemiliknya', 'kualitas', 'visualnya', 'puas']","['display', 'terrific', 'tampilan', 'layarnya', 'bikin', 'bangga', 'pemiliknya', 'kualitas', 'visualnya', 'puas']",display terrific tampil layar bikin bangga milik kualitas visual puas,,"Display iPhone 16 ini terrific, tampilan layarnya bikin bangga jadi pemiliknya, kualitas visualnya memuaskan. ",0,0,0,0,0,0,0,0,0,0,0,0
@skirano iPhone 15 Pro Kamera sebagus 16.,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,@skirano iphone 15 pro kamera sebagus 16.,skirano iphone  pro kamera sebagus ,skirano iphone pro kamera sebagus,"['skirano', 'iphone', 'pro', 'kamera', 'sebagus']","['skirano', 'kamera', 'sebagus']",skirano kamera bagus,,@skirano iPhone 15 Pro Kamera sebagus 16. ,0,0,0,0,0,0,2,0,0,0,0,0
"Ukuran layar iPhone 16 kegedean, jadi susah digenggam satu tangan dan gak nyaman masuk saku. Terlalu besar.",0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ukuran layar iphone 16 kegedean, jadi susah digenggam satu tangan dan gak nyaman masuk saku. terlalu besar.",ukuran layar iphone  kegedean jadi susah digenggam satu tangan dan gak nyaman masuk saku terlalu besar,ukuran layar iphone kegedean jadi susah digenggam satu tangan dan enggak nyaman masuk saku terlalu besar,"['ukuran', 'layar', 'iphone', 'kegedean', 'jadi', 'susah', 'digenggam', 'satu', 'tangan', 'dan', 'enggak', 'nyaman', 'masuk', 'saku', 'terlalu', 'besar']","['ukuran', 'layar', 'kegedean', 'susah', 'digenggam', 'tangan', 'nyaman', 'masuk', 'saku']",ukur layar gede susah genggam tangan nyaman masuk saku,,"Ukuran layar iPhone 16 kegedean, jadi susah digenggam satu tangan dan gak nyaman masuk saku. Terlalu besar. ",0,0,1,0,0,0,0,0,0,0,0,0
USB Type-C iPhone 16 mendukung USB Power Delivery (USB PD) lebih tinggi! Fast charging jadi lebih cepat dan efisien.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,usb type-c iphone 16 mendukung usb power delivery (usb pd) lebih tinggi! fast charging jadi lebih cepat dan efisien.,usb typec iphone  mendukung usb power delivery usb pd lebih tinggi fast charging jadi lebih cepat dan efisien,usb typec iphone mendukung usb power delivery usb pada lebih tinggi fast charging jadi lebih cepat dan efisien,"['usb', 'typec', 'iphone', 'mendukung', 'usb', 'power', 'delivery', 'usb', 'pada', 'lebih', 'tinggi', 'fast', 'charging', 'jadi', 'lebih', 'cepat', 'dan', 'efisien']","['usb', 'typec', 'mendukung', 'usb', 'power', 'delivery', 'usb', 'fast', 'charging', 'cepat', 'efisien']",usb typec dukung usb power delivery usb fast charging cepat efisien,,USB Type-C iPhone 16 mendukung USB Power Delivery (USB PD) lebih tinggi! Fast charging jadi lebih cepat dan efisien. ,0,0,0,0,0,0,0,0,2,0,0,0
"Fitur Action Button untuk baterai iPhone 16 kustomisasi baterai tidak fleksibel, personalisasi Action Button buat fungsi baterai tidak fleksibel dan malah terbatas,  kustomisasi baterai iPhone 16  malah gak fleksibel.",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"fitur action button untuk baterai iphone 16 kustomisasi baterai tidak fleksibel, personalisasi action button buat fungsi baterai tidak fleksibel dan malah terbatas,  kustomisasi baterai iphone 16  malah gak fleksibel.",fitur action button untuk baterai iphone  kustomisasi baterai tidak fleksibel personalisasi action button buat fungsi baterai tidak fleksibel dan malah terbatas  kustomisasi baterai iphone   malah gak fleksibel,fitur action button untuk baterai iphone kustomisasi baterai tidak fleksibel personalisasi action button buat fungsi baterai tidak fleksibel dan malah terbatas kustomisasi baterai iphone malah enggak fleksibel,"['fitur', 'action', 'button', 'untuk', 'baterai', 'iphone', 'kustomisasi', 'baterai', 'tidak', 'fleksibel', 'personalisasi', 'action', 'button', 'buat', 'fungsi', 'baterai', 'tidak', 'fleksibel', 'dan', 'malah', 'terbatas', 'kustomisasi', 'baterai', 'iphone', 'malah', 'enggak', 'fleksibel']","['fitur', 'action', 'button', 'baterai', 'kustomisasi', 'baterai', 'fleksibel', 'personalisasi', 'action', 'button', 'fungsi', 'baterai', 'fleksibel', 'terbatas', 'kustomisasi', 'baterai', 'fleksibel']",fitur action button baterai kustomisasi baterai fleksibel personal action button fungsi baterai fleksibel batas kustomisasi baterai fleksibel,,"Fitur Action Button untuk baterai iPhone 16 kustomisasi baterai tidak fleksibel, personalisasi Action Button buat fungsi baterai tidak fleksibel dan malah terbatas,  kustomisasi baterai iPhone 16  malah gak fleksibel. ",0,0,0,0,0,0,0,0,0,0,1,0
Koneksi perangkat yang cepat dan responsif,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,koneksi perangkat yang cepat dan responsif,koneksi perangkat yang cepat dan responsif,koneksi perangkat yang cepat dan responsif,"['koneksi', 'perangkat', 'yang', 'cepat', 'dan', 'responsif']","['koneksi', 'perangkat', 'cepat', 'responsif']",koneksi perangkat cepat responsif,,Koneksi perangkat yang cepat dan responsif ,2,0,0,0,0,0,0,0,0,0,0,0
