full_text,image_url,ocr_text,combined_text,processed_combined_text,pred_network,pred_body,pred_display,pred_platform,pred_performance,pred_memory,pred_camera,pred_sound,pred_communications,pred_features,pred_battery,pred_accessories
"Desain bodi iPhone 16 ini future-proof, bakal tetep keliatan keren sampe beberapa tahun ke depan.",0,,"Desain bodi iPhone 16 ini future-proof, bakal tetep keliatan keren sampe beberapa tahun ke depan. ",desain bodi futureproof keren,0,2,0,0,0,0,0,0,0,0,0,0
"Dark mode IOS 18 iPhone 16 ini keren maksimal, elegan, hitam pekat, kontras tinggi, hemat baterai, nyaman di mata malam hari!",0,,"Dark mode IOS 18 iPhone 16 ini keren maksimal, elegan, hitam pekat, kontras tinggi, hemat baterai, nyaman di mata malam hari! ",dark mode ios keren maksimal elegan hitam pekat kontras hemat baterai nyaman mata malam,0,0,0,2,0,0,0,0,0,0,0,0
"Lens correction algorithm audio output iPhone 16 lambat diganti, lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback, tidak instan.",0,,"Lens correction algorithm audio output iPhone 16 lambat diganti, lens correction algorithm audio sulit diganti tipenya dan kurang efektif untuk menyesuaikan cara koreksi distorsi lensa pada output foto dan video dengan audio lens correction algorithm feedback, tidak instan. ",lens correction algorithm audio output lambat ganti lens correction algorithm audio sulit ganti tipe efektif sesuai koreksi distorsi lensa output foto video audio lens correction algorithm feedback instan,0,0,0,0,0,0,1,1,0,0,0,0
"Bodi iPhone 16 ini simply breathtaking, desainnya beneran bikin napas tertahan karena saking indahnya.",0,,"Bodi iPhone 16 ini simply breathtaking, desainnya beneran bikin napas tertahan karena saking indahnya. ",bodi simply breathtaking desain benar bikin napas tahan saking indah,0,2,0,0,0,0,0,0,0,0,0,0
"Display iPhone 16 ini terrific, tampilan layarnya bikin bangga jadi pemiliknya, kualitas visualnya memuaskan.",0,,"Display iPhone 16 ini terrific, tampilan layarnya bikin bangga jadi pemiliknya, kualitas visualnya memuaskan. ",display terrific tampil layar bikin bangga milik kualitas visual puas,0,0,2,0,0,0,0,0,0,0,0,0
@skirano iPhone 15 Pro Kamera sebagus 16.,0,,@skirano iPhone 15 Pro Kamera sebagus 16. ,skirano kamera bagus,0,0,0,0,0,0,2,0,0,0,0,0
"Ukuran layar iPhone 16 kegedean, jadi susah digenggam satu tangan dan gak nyaman masuk saku. Terlalu besar.",0,,"Ukuran layar iPhone 16 kegedean, jadi susah digenggam satu tangan dan gak nyaman masuk saku. Terlalu besar. ",ukur layar gede susah genggam tangan nyaman masuk saku,0,0,1,0,0,0,0,0,0,0,0,0
USB Type-C iPhone 16 mendukung USB Power Delivery (USB PD) lebih tinggi! Fast charging jadi lebih cepat dan efisien.,0,,USB Type-C iPhone 16 mendukung USB Power Delivery (USB PD) lebih tinggi! Fast charging jadi lebih cepat dan efisien. ,usb typec dukung usb power delivery usb fast charging cepat efisien,0,0,0,0,0,0,0,0,2,0,0,0
"Fitur Action Button untuk baterai iPhone 16 kustomisasi baterai tidak fleksibel, personalisasi Action Button buat fungsi baterai tidak fleksibel dan malah terbatas,  kustomisasi baterai iPhone 16  malah gak fleksibel.",0,,"Fitur Action Button untuk baterai iPhone 16 kustomisasi baterai tidak fleksibel, personalisasi Action Button buat fungsi baterai tidak fleksibel dan malah terbatas,  kustomisasi baterai iPhone 16  malah gak fleksibel. ",fitur action button baterai kustomisasi baterai fleksibel personal action button fungsi baterai fleksibel batas kustomisasi baterai fleksibel,0,0,0,0,0,0,0,0,0,0,1,0
Koneksi perangkat yang cepat dan responsif,0,,Koneksi perangkat yang cepat dan responsif ,koneksi perangkat cepat responsif,2,0,0,0,0,0,0,0,0,0,0,0
"Performa memory iPhone 16 inkonsisten, sering terjadi error atau crash yang berkaitan dengan memory.""",0,,"Performa memory iPhone 16 inkonsisten, sering terjadi error atau crash yang berkaitan dengan memory."" ",performa memory inkonsisten error crash kait memory,0,0,0,0,0,1,0,0,0,0,0,0
"Layar iPhone 16 ini phenomenal, tampilan layarnya dahsyat dan memukau, inovasi visualnya memikat.",0,,"Layar iPhone 16 ini phenomenal, tampilan layarnya dahsyat dan memukau, inovasi visualnya memikat. ",layar phenomenal tampil layar dahsyat pukau inovasi visual mikat,0,0,2,0,0,0,0,0,0,0,0,0
"Output kamera iPhone 16 tidak tahan lama performanya, rentan menurun kualitas output atau rusak dalam beberapa tahun pemakaian, cepat aus.",0,,"Output kamera iPhone 16 tidak tahan lama performanya, rentan menurun kualitas output atau rusak dalam beberapa tahun pemakaian, cepat aus. ",output kamera tahan performa rentan turun kualitas output rusak pakai cepat aus,0,0,0,0,0,0,1,0,0,0,0,0
